MQ3_raw,MQ135_raw,MQ2_raw,label
935,1254,330,Healthy
937,1254,331,Healthy
935,1254,329,Healthy
938,1252,329,Healthy
938,1254,331,Healthy
939,1257,331,Healthy
936,1254,325,Healthy
934,1253,326,Healthy
938,1253,326,Healthy
934,1251,331,Healthy
939,1251,331,Healthy
934,1251,327,Healthy
933,1251,324,Healthy
935,1253,329,Healthy
934,1255,327,Healthy
936,1254,329,Healthy
937,1253,326,Healthy
934,1254,329,Healthy
937,1252,327,Healthy
937,1254,328,Healthy
938,1252,327,Healthy
935,1251,327,Healthy
936,1253,332,Healthy
935,1254,331,Healthy
934,1254,329,Healthy
938,1255,331,Healthy
935,1252,327,Healthy
935,1254,327,Healthy
937,1253,329,Healthy
937,1253,329,Healthy
935,1254,331,Healthy
934,1251,329,Healthy
934,1252,330,Healthy
936,1251,331,Healthy
939,1253,332,Healthy
935,1252,330,Healthy
937,1253,330,Healthy
934,1249,331,Healthy
938,1252,327,Healthy
936,1251,330,Healthy
936,1252,329,Healthy
935,1252,333,Healthy
937,1252,329,Healthy
937,1251,331,Healthy
935,1253,331,Healthy
939,1252,332,Healthy
934,1250,329,Healthy
937,1254,329,Healthy
937,1252,327,Healthy
937,1253,330,Healthy
937,1251,331,Healthy
937,1251,329,Healthy
938,1251,330,Healthy
938,1249,329,Healthy
934,1254,331,Healthy
935,1250,330,Healthy
939,1253,330,Healthy
937,1253,330,Healthy
934,1253,331,Healthy
935,1253,331,Healthy
939,1251,329,Healthy
937,1254,331,Healthy
934,1254,327,Healthy
935,1251,330,Healthy
938,1252,331,Healthy
937,1251,329,Healthy
936,1253,332,Healthy
935,1252,331,Healthy
937,1251,329,Healthy
936,1253,330,Healthy
934,1251,330,Healthy
940,1254,331,Healthy
937,1255,332,Healthy
937,1254,330,Healthy
935,1255,329,Healthy
941,1251,333,Healthy
937,1253,329,Healthy
937,1254,331,Healthy
937,1251,331,Healthy
937,1253,330,Healthy
938,1253,328,Healthy
936,1251,326,Healthy
938,1253,332,Healthy
935,1254,329,Healthy
933,1253,331,Healthy
938,1254,331,Healthy
938,1253,330,Healthy
935,1254,330,Healthy
937,1253,333,Healthy
938,1255,330,Healthy
926,1250,329,Healthy
933,1255,328,Healthy
930,1254,327,Healthy
927,1248,329,Healthy
933,1253,331,Healthy
928,1250,327,Healthy
926,1251,329,Healthy
931,1253,330,Healthy
928,1252,330,Healthy
929,1251,327,Healthy
930,1251,329,Healthy
927,1251,331,Healthy
928,1249,329,Healthy
927,1251,327,Healthy
927,1253,329,Healthy
927,1250,326,Healthy
928,1249,326,Healthy
928,1251,330,Healthy
931,1251,329,Healthy
929,1250,325,Healthy
928,1251,328,Healthy
933,1253,326,Healthy
931,1251,326,Healthy
930,1253,326,Healthy
929,1250,327,Healthy
926,1250,326,Healthy
927,1253,326,Healthy
927,1250,326,Healthy
927,1251,324,Healthy
933,1255,327,Healthy
928,1252,325,Healthy
928,1250,329,Healthy
927,1249,329,Healthy
928,1249,331,Healthy
929,1254,324,Healthy
929,1251,327,Healthy
931,1253,329,Healthy
927,1249,327,Healthy
927,1251,328,Healthy
927,1250,330,Healthy
930,1251,325,Healthy
931,1249,325,Healthy
928,1248,327,Healthy
930,1249,327,Healthy
927,1250,327,Healthy
926,1250,329,Healthy
931,1251,327,Healthy
926,1250,325,Healthy
931,1251,326,Healthy
929,1251,326,Healthy
926,1253,327,Healthy
928,1249,328,Healthy
927,1250,327,Healthy
923,1249,327,Healthy
929,1250,328,Healthy
928,1250,325,Healthy
925,1249,326,Healthy
929,1248,325,Healthy
928,1252,329,Healthy
929,1251,327,Healthy
925,1251,331,Healthy
933,1251,326,Healthy
928,1252,329,Healthy
924,1250,326,Healthy
929,1251,329,Healthy
926,1251,328,Healthy
927,1251,329,Healthy
925,1249,324,Healthy
926,1249,325,Healthy
928,1252,329,Healthy
927,1251,329,Healthy
929,1251,327,Healthy
925,1251,326,Healthy
927,1250,331,Healthy
930,1250,329,Healthy
929,1250,330,Healthy
927,1252,327,Healthy
937,1253,325,Healthy
935,1255,326,Healthy
934,1254,331,Healthy
938,1255,331,Healthy
935,1251,326,Healthy
936,1254,331,Healthy
939,1254,329,Healthy
935,1254,329,Healthy
937,1254,325,Healthy
935,1255,326,Healthy
938,1254,326,Healthy
932,1255,325,Healthy
937,1254,326,Healthy
934,1254,326,Healthy
937,1254,328,Healthy
934,1251,327,Healthy
935,1249,326,Healthy
938,1253,328,Healthy
934,1251,327,Healthy
936,1253,327,Healthy
937,1254,330,Healthy
939,1251,330,Healthy
939,1254,330,Healthy
936,1252,325,Healthy
935,1254,326,Healthy
938,1254,331,Healthy
938,1253,331,Healthy
938,1254,331,Healthy
937,1255,330,Healthy
935,1254,327,Healthy
938,1257,329,Healthy
934,1253,329,Healthy
937,1257,328,Healthy
935,1255,326,Healthy
936,1255,326,Healthy
939,1253,330,Healthy
933,1254,327,Healthy
936,1254,326,Healthy
937,1257,327,Healthy
935,1251,327,Healthy
931,1253,326,Healthy
934,1252,326,Healthy
934,1253,327,Healthy
939,1255,329,Healthy
939,1257,325,Healthy
938,1254,329,Healthy
935,1255,328,Healthy
938,1252,330,Healthy
936,1253,327,Healthy
934,1253,330,Healthy
935,1253,327,Healthy
937,1254,328,Healthy
935,1254,327,Healthy
939,1253,330,Healthy
939,1254,333,Healthy
938,1254,327,Healthy
935,1251,326,Healthy
935,1254,329,Healthy
935,1250,327,Healthy
939,1254,330,Healthy
929,1251,326,Healthy
931,1253,332,Healthy
930,1252,326,Healthy
934,1254,327,Healthy
938,1255,327,Healthy
931,1253,330,Healthy
927,1252,329,Healthy
929,1251,327,Healthy
927,1254,329,Healthy
929,1250,329,Healthy
935,1253,330,Healthy
928,1250,326,Healthy
933,1250,327,Healthy
929,1252,327,Healthy
927,1252,329,Healthy
926,1249,326,Healthy
921,1248,327,Healthy
929,1251,325,Healthy
930,1254,325,Healthy
931,1251,327,Healthy
930,1253,330,Healthy
930,1252,330,Healthy
932,1254,330,Healthy
930,1255,329,Healthy
929,1253,326,Healthy
929,1253,328,Healthy
929,1252,329,Healthy
928,1249,327,Healthy
926,1250,326,Healthy
933,1251,329,Healthy
929,1251,330,Healthy
929,1250,329,Healthy
931,1252,330,Healthy
930,1250,329,Healthy
931,1251,327,Healthy
930,1252,333,Healthy
933,1253,331,Healthy
932,1253,334,Healthy
931,1252,329,Healthy
929,1254,326,Healthy
933,1252,331,Healthy
928,1250,330,Healthy
931,1251,331,Healthy
936,1253,332,Healthy
935,1254,333,Healthy
934,1255,331,Healthy
930,1251,331,Healthy
938,1253,335,Healthy
933,1252,331,Healthy
930,1254,330,Healthy
931,1252,333,Healthy
931,1252,331,Healthy
937,1255,332,Healthy
931,1251,326,Healthy
930,1250,328,Healthy
930,1250,323,Healthy
933,1254,331,Healthy
929,1253,330,Healthy
934,1253,328,Healthy
930,1253,327,Healthy
931,1254,332,Healthy
934,1259,333,Healthy
935,1255,333,Healthy
935,1255,333,Healthy
930,1251,331,Healthy
932,1254,331,Healthy
927,1251,330,Healthy
931,1255,334,Healthy
929,1255,329,Healthy
929,1251,327,Healthy
929,1254,330,Healthy
935,1257,333,Healthy
931,1253,329,Healthy
932,1251,332,Healthy
930,1251,331,Healthy
930,1254,333,Healthy
929,1252,329,Healthy
930,1254,330,Healthy
927,1253,327,Healthy
930,1252,327,Healthy
933,1255,327,Healthy
927,1251,329,Healthy
934,1255,326,Healthy
928,1251,330,Healthy
927,1251,327,Healthy
930,1251,329,Healthy
931,1253,328,Healthy
929,1252,328,Healthy
929,1250,327,Healthy
935,1254,333,Healthy
930,1253,329,Healthy
931,1255,331,Healthy
931,1254,327,Healthy
930,1253,332,Healthy
932,1254,330,Healthy
931,1255,331,Healthy
930,1255,327,Healthy
931,1253,331,Healthy
932,1253,332,Healthy
930,1254,331,Healthy
929,1254,331,Healthy
931,1255,331,Healthy
935,1256,331,Healthy
927,1253,332,Healthy
928,1254,330,Healthy
929,1254,330,Healthy
931,1251,327,Healthy
929,1250,325,Healthy
928,1250,326,Healthy
931,1252,328,Healthy
931,1253,327,Healthy
928,1249,326,Healthy
933,1254,331,Healthy
933,1255,329,Healthy
929,1253,330,Healthy
928,1252,326,Healthy
930,1254,329,Healthy
929,1254,327,Healthy
930,1251,327,Healthy
937,1256,332,Healthy
931,1255,332,Healthy
931,1255,333,Healthy
937,1254,332,Healthy
931,1253,330,Healthy
933,1253,334,Healthy
931,1253,331,Healthy
932,1254,330,Healthy
930,1252,327,Healthy
930,1254,331,Healthy
930,1253,328,Healthy
934,1254,333,Healthy
929,1253,330,Healthy
931,1251,326,Healthy
931,1253,330,Healthy
930,1250,330,Healthy
928,1252,327,Healthy
930,1256,331,Healthy
934,1253,327,Healthy
938,1254,325,Healthy
941,1253,329,Healthy
941,1258,333,Healthy
939,1255,331,Healthy
941,1257,331,Healthy
942,1256,333,Healthy
939,1256,329,Healthy
941,1257,334,Healthy
941,1258,334,Healthy
941,1257,332,Healthy
938,1246,326,Healthy
937,1255,331,Healthy
941,1257,329,Healthy
941,1254,330,Healthy
938,1254,327,Healthy
941,1256,335,Healthy
939,1255,331,Healthy
941,1255,331,Healthy
941,1257,331,Healthy
943,1258,334,Healthy
941,1258,333,Healthy
942,1255,330,Healthy
942,1257,331,Healthy
942,1255,331,Healthy
940,1257,331,Healthy
941,1257,333,Healthy
939,1255,331,Healthy
940,1257,333,Healthy
938,1254,332,Healthy
943,1255,333,Healthy
930,1254,330,Healthy
931,1254,331,Healthy
937,1257,331,Healthy
933,1255,327,Healthy
934,1255,331,Healthy
934,1257,331,Healthy
929,1256,331,Healthy
934,1254,331,Healthy
933,1254,329,Healthy
932,1254,330,Healthy
932,1253,329,Healthy
937,1258,334,Healthy
932,1255,330,Healthy
931,1254,330,Healthy
931,1251,331,Healthy
935,1256,333,Healthy
935,1254,330,Healthy
931,1256,334,Healthy
933,1255,332,Healthy
934,1254,332,Healthy
930,1254,331,Healthy
931,1253,333,Healthy
931,1251,327,Healthy
933,1252,333,Healthy
934,1256,333,Healthy
931,1254,332,Healthy
935,1255,329,Healthy
929,1253,329,Healthy
935,1255,333,Healthy
931,1253,331,Healthy
929,1255,330,Healthy
931,1254,333,Healthy
931,1254,329,Healthy
931,1253,330,Healthy
933,1254,330,Healthy
934,1255,330,Healthy
930,1252,330,Healthy
934,1255,333,Healthy
931,1253,333,Healthy
929,1254,332,Healthy
931,1253,332,Healthy
939,1255,333,Healthy
930,1254,332,Healthy
933,1254,333,Healthy
937,1255,331,Healthy
930,1253,330,Healthy
934,1257,334,Healthy
931,1254,333,Healthy
929,1257,331,Healthy
937,1252,333,Healthy
939,1255,335,Healthy
933,1255,327,Healthy
928,1255,330,Healthy
929,1254,331,Healthy
930,1255,331,Healthy
934,1255,331,Healthy
938,1259,333,Healthy
930,1254,330,Healthy
930,1254,331,Healthy
940,1255,331,Healthy
929,1255,330,Healthy
933,1255,330,Healthy
931,1254,329,Healthy
933,1255,330,Healthy
931,1253,330,Healthy
928,1253,327,Healthy
932,1253,331,Healthy
929,1251,330,Healthy
934,1257,332,Healthy
934,1255,331,Healthy
935,1251,333,Healthy
934,1254,332,Healthy
931,1253,332,Healthy
933,1254,331,Healthy
937,1255,330,Healthy
932,1251,330,Healthy
931,1255,330,Healthy
934,1254,330,Healthy
931,1254,330,Healthy
933,1254,330,Healthy
932,1253,329,Healthy
933,1254,332,Healthy
931,1254,331,Healthy
932,1254,327,Healthy
930,1254,327,Healthy
933,1251,331,Healthy
934,1254,330,Healthy
935,1253,330,Healthy
930,1253,327,Healthy
930,1251,325,Healthy
932,1254,326,Healthy
933,1257,329,Healthy
935,1257,330,Healthy
935,1258,330,Healthy
939,1258,329,Healthy
942,1258,327,Healthy
939,1257,325,Healthy
941,1258,331,Healthy
941,1259,331,Healthy
941,1255,330,Healthy
941,1257,332,Healthy
939,1259,330,Healthy
941,1255,330,Healthy
940,1257,331,Healthy
938,1255,331,Healthy
939,1257,329,Healthy
938,1257,325,Healthy
939,1255,328,Healthy
940,1257,327,Healthy
939,1254,327,Healthy
940,1254,330,Healthy
938,1255,329,Healthy
939,1255,329,Healthy
938,1254,326,Healthy
940,1255,331,Healthy
939,1257,331,Healthy
941,1259,330,Healthy
941,1258,330,Healthy
941,1258,327,Healthy
939,1257,333,Healthy
939,1255,328,Healthy
938,1255,330,Healthy
938,1255,329,Healthy
941,1258,330,Healthy
940,1257,329,Healthy
940,1255,326,Healthy
941,1259,331,Healthy
942,1258,330,Healthy
942,1254,331,Healthy
942,1257,333,Healthy
935,1255,332,Healthy
941,1255,330,Healthy
940,1255,329,Healthy
942,1257,333,Healthy
942,1257,330,Healthy
940,1255,331,Healthy
941,1261,331,Healthy
939,1257,326,Healthy
939,1259,332,Healthy
942,1258,330,Healthy
939,1255,329,Healthy
939,1257,329,Healthy
941,1257,329,Healthy
940,1257,332,Healthy
941,1258,333,Healthy
939,1258,331,Healthy
941,1258,333,Healthy
